transferid,organid,fromhospitalid,tohospitalid,pickuptime,deliverytime,transportationmode,preservation,conditiononarrival
9990063,333616,27,24,2020-01-28 10:12:47,2020-01-28 14:02:47,Charter Jet,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990064,334317,47,6,2024-02-03 08:07:21,2024-02-04 04:28:21,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990065,333966,34,13,2022-11-11 12:06:49,2022-11-11 17:44:49,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990066,333839,25,26,2019-06-28 11:47:18,2019-06-29 09:36:18,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990067,334162,13,20,2020-01-15 16:06:09,2020-01-16 09:29:09,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990068,333917,4,46,2018-12-05 20:36:14,2018-12-06 20:53:14,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990069,333588,43,31,2022-09-29 16:17:55,2022-09-30 00:40:55,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990070,334012,26,47,2022-06-02 19:12:26,2022-06-03 03:53:26,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990071,333483,47,17,2022-03-29 18:23:32,2022-03-30 14:58:32,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990072,333659,30,38,2018-07-07 23:17:22,2018-07-08 12:40:22,Medical Courier Service,Cryopreservation,Compromised - Significant ischemic injury
9990073,333763,7,47,2025-04-28 06:31:24,2025-04-28 08:38:24,Medical Courier Service,Cryopreservation,Good - Minor superficial bruising - viable
9990074,334209,43,4,2021-12-28 07:55:07,2021-12-28 19:42:07,Medical Courier Service,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990075,333763,13,43,2024-09-17 21:04:18,2024-09-18 21:42:18,Helicopter,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990076,334191,45,36,2020-08-29 07:08:57,2020-08-29 20:12:57,Charter Jet,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990077,333576,31,36,2021-02-03 00:09:29,2021-02-03 23:58:29,Air Transport (Commercial),Cryopreservation,Compromised - Significant ischemic injury
9990078,334085,19,43,2025-02-23 13:55:10,2025-02-24 04:34:10,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990079,333996,7,43,2024-09-17 17:03:21,2024-09-17 21:30:21,Charter Jet,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990080,333559,17,50,2022-10-19 20:40:06,2022-10-20 11:12:06,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990081,333631,29,42,2025-05-03 16:43:07,2025-05-04 06:47:07,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990082,334035,44,41,2019-10-17 10:17:22,2019-10-17 13:20:22,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990083,333456,21,3,2020-05-02 01:45:09,2020-05-02 13:20:09,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990084,334179,28,20,2021-11-30 17:34:33,2021-12-01 15:07:33,Medical Courier Service,Cryopreservation,Good - Minor superficial bruising - viable
9990085,334152,21,34,2023-10-25 05:01:55,2023-10-25 17:34:55,Helicopter,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990086,333858,48,4,2018-11-15 05:21:54,2018-11-16 05:49:54,Helicopter,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990087,333915,20,11,2023-11-21 20:59:13,2023-11-22 15:15:13,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990088,333803,5,21,2020-04-20 04:35:12,2020-04-20 21:12:12,Helicopter,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990089,333443,18,32,2022-04-30 07:20:05,2022-04-30 20:11:05,Medical Courier Service,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990090,333631,7,4,2025-06-06 00:37:02,2025-06-06 17:38:02,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990091,333409,40,18,2020-02-09 18:31:15,2020-02-10 01:09:15,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990092,333701,12,14,2021-09-07 01:04:28,2021-09-07 13:10:28,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990093,334180,44,11,2025-03-27 17:41:08,2025-03-28 13:55:08,Charter Jet,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990094,333974,6,4,2022-04-14 04:29:30,2022-04-15 01:57:30,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990095,333402,10,45,2020-08-09 21:33:19,2020-08-10 07:29:19,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990096,333677,3,12,2020-04-01 17:59:40,2020-04-02 11:14:40,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990097,333717,33,32,2024-05-08 21:11:38,2024-05-09 08:50:38,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990098,333848,45,44,2025-06-09 01:49:59,2025-06-09 18:08:59,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990099,333988,40,48,2022-06-03 15:56:01,2022-06-04 09:19:01,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990100,333413,16,3,2021-05-04 01:49:56,2021-05-05 02:30:56,Charter Jet,Cryopreservation,Good - Minor superficial bruising - viable
9990101,333957,40,14,2022-02-17 09:06:00,2022-02-17 15:33:00,Helicopter,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990102,333741,11,7,2022-04-20 13:42:32,2022-04-20 23:01:32,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990103,334322,34,41,2020-12-10 13:47:36,2020-12-10 23:18:36,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990104,334325,13,38,2023-06-19 04:23:19,2023-06-19 08:35:19,Helicopter,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990105,333459,25,17,2023-05-12 16:36:29,2023-05-13 03:56:29,Charter Jet,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990106,333591,14,23,2021-11-08 22:46:58,2021-11-09 11:28:58,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990107,333934,44,31,2020-08-19 19:30:10,2020-08-20 19:00:10,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990108,334039,50,32,2021-01-02 11:55:31,2021-01-03 06:56:31,Specialized Ambulance,Cryopreservation,Excellent - No signs of damage or degradation
9990109,333410,26,27,2024-05-17 04:01:06,2024-05-17 15:11:06,Helicopter,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990110,333692,39,44,2022-06-03 22:43:29,2022-06-04 02:32:29,Charter Jet,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990111,334130,42,30,2019-09-14 22:24:32,2019-09-15 05:13:32,Charter Jet,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990112,333932,41,37,2021-09-02 02:31:24,2021-09-02 10:17:24,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990113,333950,4,10,2019-02-27 07:56:49,2019-02-27 10:57:49,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990114,333777,43,11,2022-04-29 22:58:18,2022-04-30 15:11:18,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990115,333381,2,30,2024-06-22 14:01:23,2024-06-23 00:21:23,Air Transport (Commercial),Cryopreservation,Compromised - Significant ischemic injury
9990116,334080,27,35,2020-10-14 21:57:38,2020-10-15 19:10:38,Helicopter,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990117,334246,35,21,2023-10-23 13:05:20,2023-10-23 16:38:20,Medical Courier Service,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990118,333574,48,3,2019-01-25 05:07:01,2019-01-25 09:48:01,Helicopter,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990119,333853,42,29,2018-08-07 21:20:56,2018-08-08 11:05:56,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990120,334184,9,24,2024-01-31 07:09:00,2024-01-31 19:01:00,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990121,333563,28,8,2018-09-24 02:51:19,2018-09-24 10:23:19,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990122,333379,20,5,2025-04-17 05:41:35,2025-04-17 22:24:35,Helicopter,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990123,333490,1,16,2024-11-08 16:30:53,2024-11-09 05:45:53,Helicopter,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990124,333539,33,11,2024-03-05 20:39:24,2024-03-06 06:23:24,Helicopter,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990125,333621,35,22,2020-05-12 03:58:23,2020-05-12 16:53:23,Medical Courier Service,Cryopreservation,Compromised - Significant ischemic injury
9990126,333408,13,40,2022-01-27 19:31:04,2022-01-28 02:25:04,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990127,333980,4,23,2021-08-28 03:27:02,2021-08-28 08:53:02,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990128,333403,21,1,2020-04-04 21:39:26,2020-04-05 05:52:26,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990129,334021,10,50,2024-07-28 00:07:27,2024-07-28 02:26:27,Medical Courier Service,Cryopreservation,Good - Minor superficial bruising - viable
9990130,333553,14,47,2020-11-28 12:13:01,2020-11-29 06:33:01,Medical Courier Service,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990131,333543,1,47,2022-12-18 16:35:09,2022-12-19 01:14:09,Charter Jet,Cryopreservation,Compromised - Significant ischemic injury
9990132,334041,31,13,2020-07-10 10:20:33,2020-07-10 13:11:33,Specialized Ambulance,Cryopreservation,Excellent - No signs of damage or degradation
9990133,333497,7,46,2024-11-27 19:26:31,2024-11-28 06:25:31,Medical Courier Service,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990134,333578,6,42,2022-06-25 05:46:09,2022-06-25 13:56:09,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990135,333527,24,21,2022-01-27 13:41:12,2022-01-28 07:41:12,Helicopter,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990136,333479,4,17,2024-06-29 08:45:09,2024-06-30 03:27:09,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990137,333408,17,18,2021-06-15 09:14:53,2021-06-16 03:19:53,Helicopter,Cryopreservation,Excellent - No signs of damage or degradation
9990138,333946,1,7,2021-10-01 12:45:02,2021-10-01 18:13:02,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990139,333757,10,6,2021-09-20 15:03:13,2021-09-20 22:08:13,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990140,334260,48,22,2023-10-03 20:45:50,2023-10-04 18:23:50,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990141,333413,12,44,2021-09-15 21:58:45,2021-09-16 02:56:45,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990142,333811,15,3,2024-03-16 04:42:55,2024-03-17 03:29:55,Charter Jet,Cryopreservation,Compromised - Significant ischemic injury
9990143,333405,12,36,2022-08-28 14:23:28,2022-08-29 08:33:28,Medical Courier Service,Cryopreservation,Excellent - No signs of damage or degradation
9990144,333731,16,27,2018-11-29 03:16:33,2018-11-29 21:58:33,Charter Jet,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990145,333705,38,6,2023-10-12 06:41:53,2023-10-12 23:52:53,Helicopter,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990146,333780,47,19,2025-05-19 13:46:19,2025-05-19 17:52:19,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990147,334132,42,46,2022-10-05 17:14:32,2022-10-06 06:44:32,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990148,334229,28,19,2021-02-18 08:42:48,2021-02-18 23:09:48,Medical Courier Service,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990149,333487,31,24,2020-08-15 15:49:30,2020-08-15 23:58:30,Charter Jet,Cryopreservation,Good - Minor superficial bruising - viable
9990150,334255,35,36,2020-04-21 00:34:59,2020-04-22 00:45:59,Charter Jet,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990151,334205,42,24,2022-01-13 05:05:47,2022-01-13 20:44:47,Specialized Ambulance,Cryopreservation,Compromised - Significant ischemic injury
9990152,334186,48,40,2020-12-07 20:03:51,2020-12-08 14:56:51,Medical Courier Service,Cryopreservation,Excellent - No signs of damage or degradation
9990153,334175,45,27,2018-06-17 03:25:01,2018-06-17 09:42:01,Charter Jet,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990154,334248,38,23,2019-10-28 12:21:49,2019-10-29 10:02:49,Helicopter,Cryopreservation,Compromised - Significant ischemic injury
9990155,333637,50,25,2019-03-04 12:28:32,2019-03-05 11:49:32,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990156,333951,45,39,2023-02-28 11:18:32,2023-02-28 21:45:32,Helicopter,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990157,334021,8,29,2022-11-29 12:58:22,2022-11-30 06:38:22,Air Transport (Commercial),Cryopreservation,Compromised - Significant ischemic injury
9990158,334132,8,31,2025-03-21 05:54:58,2025-03-21 22:11:58,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990159,333617,7,33,2019-10-08 02:01:34,2019-10-08 15:37:34,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990160,333434,31,22,2022-12-12 12:19:55,2022-12-13 02:49:55,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990161,334036,5,30,2025-04-03 17:57:27,2025-04-04 14:24:27,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990162,333965,21,40,2021-12-25 14:53:26,2021-12-26 02:18:26,Charter Jet,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990163,333726,49,1,2023-01-31 04:08:39,2023-02-01 01:04:39,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990164,333361,36,15,2018-06-04 01:28:23,2018-06-04 15:50:23,Charter Jet,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990165,333540,11,48,2024-03-27 20:02:26,2024-03-28 03:05:26,Helicopter,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990166,333507,7,11,2020-09-09 12:28:45,2020-09-10 02:26:45,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990167,333899,18,46,2021-02-17 05:15:11,2021-02-18 02:41:11,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990168,333829,22,10,2024-01-10 20:05:00,2024-01-11 13:30:00,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990169,334100,27,14,2019-10-18 02:33:21,2019-10-19 00:40:21,Charter Jet,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990170,333815,34,16,2022-05-17 18:28:54,2022-05-18 06:19:54,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990171,333559,1,27,2019-12-13 22:57:10,2019-12-14 02:01:10,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990172,334256,50,28,2021-08-12 19:50:49,2021-08-13 02:15:49,Charter Jet,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990173,333977,12,33,2024-02-04 09:22:27,2024-02-05 04:19:27,Helicopter,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990174,333686,38,8,2021-08-12 16:16:32,2021-08-12 19:13:32,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
